1	20262	202606	2026 - 2nd	0.0625	0	3707	||***Required Upgrade is Now Available***||Sales Tax v7.2 is no longer being supported and must be upgraded to v7.3.  Please go to the Comptroller's EDI webpage to download and install v7.3.||The link is available at:||https://comptroller.texas.gov/taxes/file-pay/edi/||	v7.2N			
20261	q	4/20/2026									
20262	q	7/20/2026									
20263	q	10/20/2025									
20264	q	1/20/2027									
202601	m	2/20/2026									
202602	m	3/20/2026									
202603	m	4/20/2026									
202604	m	5/20/2026									
202605	m	6/22/2026									
202606	m	7/20/2026									
202607	m	8/20/2026									
202608	m	9/21/2026									
202609	m	10/20/2026									
202610	m	11/20/2026									
202611	m	12/21/2026									
202612	m	1/20/2027									
Abbott 	2109064	0.015	Hill 	4109000	0.005	n/a	n/a	0	n/a	n/a	0
Abbott/Hill Co ESD 2-A	6109607	0.015	Hill 	4109000	0.005	n/a	n/a	0	n/a	n/a	0
Aberfoyle 	n/a	0	Hunt 	4116001	0.005	n/a	n/a	0	n/a	n/a	0
Abernathy 	2095024	0.015	Hale 	4095006	0.005	n/a	n/a	0	n/a	n/a	0
Abernathy 	2095024	0.015	Lubbock 	4152006	0.005	n/a	n/a	0	n/a	n/a	0
Abilene 	2221012	0.02	Jones 	n/a	0	n/a	n/a	0	n/a	n/a	0
Abilene 	2221012	0.02	Taylor 	n/a	0	n/a	n/a	0	n/a	n/a	0
Ace 	n/a	0	Polk 	4187005	0.005	n/a	n/a	0	n/a	n/a	0
Ackerly 	2156020	0.01	Dawson 	4058001	0.005	n/a	n/a	0	n/a	n/a	0
Ackerly 	2156020	0.01	Howard 	n/a	0	n/a	n/a	0	n/a	n/a	0
Ackerly 	2156020	0.01	Martin 	n/a	0	n/a	n/a	0	n/a	n/a	0
Acme 	n/a	0	Hardeman 	4099002	0.005	n/a	n/a	0	n/a	n/a	0
Acton 	n/a	0	Hood 	4111006	0.005	Hood Co Dev Dist 1 	5111505	0.005	n/a	n/a	0
Acuff 	n/a	0	Lubbock 	4152006	0.005	n/a	n/a	0	n/a	n/a	0
Acworth 	n/a	0	Red River 	4194006	0.005	n/a	n/a	0	n/a	n/a	0
Adamsville 	n/a	0	Lampasas 	4141000	0.005	n/a	n/a	0	n/a	n/a	0
Addicks 	n/a	0	Harris 	n/a	0	n/a	n/a	0	Houston MTA 	3101990	0.01
Addielou 	n/a	0	Red River 	4194006	0.005	n/a	n/a	0	n/a	n/a	0
Addison 	2057217	0.01	Dallas 	n/a	0	n/a	n/a	0	Dallas MTA 	3057994	0.01
Addran 	n/a	0	Hopkins 	4112005	0.005	n/a	n/a	0	n/a	n/a	0
Adell 	n/a	0	Parker 	4184008	0.005	n/a	n/a	0	n/a	n/a	0
Adhall 	n/a	0	Milam 	4166000	0.005	n/a	n/a	0	n/a	n/a	0
Adkins 	n/a	0	Bexar 	n/a	0	n/a	n/a	0	San Antonio MTA 	3015995	0.005
Adrian 	2180020	0.01	Oldham 	4180002	0.005	n/a	n/a	0	n/a	n/a	0
Advance 	n/a	0	Parker 	4184008	0.005	n/a	n/a	0	n/a	n/a	0
Afton 	n/a	0	Dickens 	4063004	0.005	n/a	n/a	0	n/a	n/a	0
Agnes 	n/a	0	Parker 	4184008	0.005	n/a	n/a	0	n/a	n/a	0
Agua Dulce 	2178051	0.01	Nueces 	n/a	0	n/a	n/a	0	Corpus Christi MTA	3178998	0.005
Agua Nueva 	n/a	0	Jim Hogg 	4124001	0.01	Jim Hogg Co Asst Dist 	5124519	0.005	n/a	n/a	0
Aguilares 	n/a	0	Webb 	4240000	0.005	n/a	n/a	0	n/a	n/a	0
Airport City 	n/a	0	Bexar 	n/a	0	n/a	n/a	0	San Antonio MTA 	3015995	0.005
Airville 	n/a	0	Bell 	4014004	0.005	n/a	n/a	0	n/a	n/a	0
Alamo 	2108092	0.02	Hidalgo 	n/a	0	n/a	n/a	0	n/a	n/a	0
Alamo Alto 	n/a	0	El Paso 	4071004	0.005	El Paso Co ESD 2 	5071503	0.005	n/a	n/a	0
Alamo Beach 	n/a	0	Calhoun 	4029007	0.005	n/a	n/a	0	n/a	n/a	0
Alamo Heights 	2015021	0.015	Bexar 	n/a	0	n/a	n/a	0	San Antonio MTA 	3015995	0.005
Alazan 	n/a	0	Nacogdoches 	n/a	0	Nacogdoches Co Hosp Dist	5174509	0.01	n/a	n/a	0
Alba 	2250043	0.015	Rains 	4190000	0.005	n/a	n/a	0	n/a	n/a	0
Alba 	2250043	0.015	Wood 	4250007	0.005	n/a	n/a	0	n/a	n/a	0
Albany 	2209027	0.02	Shackelford 	n/a	0	n/a	n/a	0	n/a	n/a	0
Albert 	n/a	0	Gillespie 	4086007	0.005	n/a	n/a	0	n/a	n/a	0
Albion 	n/a	0	Red River 	4194006	0.005	n/a	n/a	0	n/a	n/a	0
Aldine 	n/a	0	Harris 	n/a	0	E Aldine Mgt Dist	5101534	0.01	Houston MTA 	3101990	0.01
Aledo 	2184053	0.015	Parker 	4184008	0.005	n/a	n/a	0	n/a	n/a	0
Aleman 	n/a	0	Hamilton 	4097004	0.005	n/a	n/a	0	n/a	n/a	0
Alexander 	n/a	0	Erath 	4072003	0.005	n/a	n/a	0	n/a	n/a	0
Alfred 	n/a	0	Jim Wells 	4125000	0.005	n/a	n/a	0	n/a	n/a	0
Algerita 	n/a	0	San Saba 	4206002	0.005	n/a	n/a	0	n/a	n/a	0
Alice 	2125028	0.015	Jim Wells 	4125000	0.005	n/a	n/a	0	n/a	n/a	0
Alice Southwest 	n/a	0	Jim Wells 	4125000	0.005	n/a	n/a	0	n/a	n/a	0
Alief 	n/a	0	Harris 	n/a	0	n/a	n/a	0	Houston MTA 	3101990	0.01
Allen 	2043072	0.02	Collin 	n/a	0	n/a	n/a	0	n/a	n/a	0
Allenfarm 	n/a	0	Brazos 	4021005	0.005	n/a	n/a	0	n/a	n/a	0
Allens Chapel 	n/a	0	Fannin 	4074001	0.005	n/a	n/a	0	n/a	n/a	0
Allens Point 	n/a	0	Fannin 	4074001	0.005	n/a	n/a	0	n/a	n/a	0
Allentown 	n/a	0	Angelina 	4003007	0.005	n/a	n/a	0	n/a	n/a	0
Alleyton 	n/a	0	Colorado 	4045007	0.005	n/a	n/a	0	n/a	n/a	0
Alliance Hall 	n/a	0	Navarro 	4175009	0.005	n/a	n/a	0	n/a	n/a	0
Alma 	2070112	0.02	Ellis 	n/a	0	n/a	n/a	0	n/a	n/a	0
Almont 	n/a	0	Bowie 	4019009	0.005	n/a	n/a	0	n/a	n/a	0
Alpine 	2022013	0.015	Brewster 	4022004	0.005	n/a	n/a	0	n/a	n/a	0
Altair 	n/a	0	Colorado 	4045007	0.005	Rice Hospital District 	5045506	0.005	n/a	n/a	0
Alto 	2037016	0.015	Cherokee 	4037007	0.005	n/a	n/a	0	n/a	n/a	0
Alto Springs 	n/a	0	Falls 	4073002	0.005	n/a	n/a	0	n/a	n/a	0
Alton 	2108172	0.02	Hidalgo 	n/a	0	n/a	n/a	0	n/a	n/a	0
Alum Creek 	n/a	0	Bastrop 	4011007	0.005	n/a	n/a	0	n/a	n/a	0
Alvarado 	2126054	0.02	Johnson 	n/a	0	n/a	n/a	0	n/a	n/a	0
ALVARADO/JNSON ESD 1-B	6126606	0.02	Johnson 	n/a	0	n/a	n/a	0	n/a	n/a	0
Alvin 	2020015	0.015	Brazoria 	4020006	0.005	n/a	n/a	0	n/a	n/a	0
Alvord 	2249083	0.015	Wise 	4249001	0.005	n/a	n/a	0	n/a	n/a	0
Amarillo 	2188013	0.02	Potter 	n/a	0	n/a	n/a	0	n/a	n/a	0
Amarillo 	2188013	0.02	Randall 	n/a	0	n/a	n/a	0	n/a	n/a	0
Amarillo/Randall Co AD 1 	6191606	0.02	Randall 	n/a	0	n/a	n/a	0	n/a	n/a	0
Amarillo/Potter Dis 1	6188601	0.02	Potter 	n/a	0	n/a	n/a	0	n/a	n/a	0
Ambia 	n/a	0	Lamar 	4139004	0.005	n/a	n/a	0	n/a	n/a	0
Ames 	n/a	0	Coryell 	4050009	0.005	n/a	n/a	0	n/a	n/a	0
Ames 	2146096	0.01	Liberty 	4146005	0.005	n/a	n/a	0	n/a	n/a	0
Amherst 	2140010	0.0125	Lamb 	n/a	0	n/a	n/a	0	n/a	n/a	0
Ammansville 	n/a	0	Fayette 	4075000	0.005	n/a	n/a	0	n/a	n/a	0
Amphion 	n/a	0	Atascosa 	4007003	0.005	n/a	n/a	0	n/a	n/a	0
Amsterdam 	n/a	0	Brazoria 	4020006	0.005	n/a	n/a	0	n/a	n/a	0
Anahuac 	2036017	0.01	Chambers 	n/a	0	Anahuac Mun Dev Dist 	5036534	0.005	n/a	n/a	0
Anchor 	n/a	0	Brazoria 	4020006	0.005	n/a	n/a	0	n/a	n/a	0
Anderson 	2093035	0.0125	Grimes 	4093008	0.005	n/a	n/a	0	n/a	n/a	0
Anderson Mill 	n/a	0	Williamson 	n/a	0	n/a	n/a	0	Austin MTA 	3227999	0.01
Andrews 	2002017	0.02	Andrews 	n/a	0	n/a	n/a	0	n/a	n/a	0
Angleton 	2020042	0.015	Brazoria 	4020006	0.005	n/a	n/a	0	n/a	n/a	0
Angus 	2175107	0.015	Navarro 	4175009	0.005	n/a	n/a	0	n/a	n/a	0
Anna 	2043134	0.02	Collin 	n/a	0	n/a	n/a	0	n/a	n/a	0
Annarose 	n/a	0	Live Oak 	4149002	0.005	n/a	n/a	0	n/a	n/a	0
Annetta 	2184099	0.0125	Parker 	4184008	0.005	Annetta Crime Control	5184525	0.0025	n/a	n/a	0
Annetta North 	2184124	0.015	Parker 	4184008	0.005	n/a	n/a	0	n/a	n/a	0
Annetta South 	2184115	0.01	Parker 	4184008	0.005	Parker Co ESD 1	5184534	0.005	n/a	n/a	0
Anneville 	n/a	0	Wise 	4249001	0.005	n/a	n/a	0	n/a	n/a	0
Annona 	2194042	0.01	Red River 	4194006	0.005	n/a	n/a	0	n/a	n/a	0
Anson 	2127026	0.02	Jones 	n/a	0	n/a	n/a	0	n/a	n/a	0
Antelope	n/a	0	Jack	n/a	0	n/a	n/a	0	n/a	n/a	0
Anthony 	2071022	0.01	El Paso 	4071004	0.005	El Paso Co ESD 2 	5071503	0.005	n/a	n/a	0
Antioch 	n/a	0	Houston 	4113004	0.005	n/a	n/a	0	n/a	n/a	0
Antioch 	n/a	0	Madison	4154004	0.005	n/a	n/a	0	n/a	n/a	0
Anton 	2110025	0.02	Hockley 	n/a	0	n/a	n/a	0	n/a	n/a	0
Apolonia 	n/a	0	Grimes 	4093008	0.005	n/a	n/a	0	n/a	n/a	0
Appleby 	2174055	0.01	Nacogdoches 	n/a	0	Nacogdoches Co Hosp Dist	5174509	0.01	n/a	n/a	0
Aquilla 	2109108	0.01	Hill 	4109000	0.005	Hill Co ESD 2	5109518	0.005	n/a	n/a	0
Aransas Pass 	2205012	0.01	Aransas 	4004006	0.005	Aransas Co Health Serv 	5004505	0.005	n/a	n/a	0
Aransas Pass 	2205012	0.01	Nueces 	n/a	0	Aransas Pass Crm Cont 	5205511	0.005	n/a	n/a	0
Aransas Pass 	2205012	0.01	San Patricio 	n/a	0	Aransas Pass Crm Cont 	5205511	0.005	n/a	n/a	0
Arbala 	n/a	0	Hopkins 	4112005	0.005	n/a	n/a	0	n/a	n/a	0
Arbor 	n/a	0	Houston 	4113004	0.005	n/a	n/a	0	n/a	n/a	0
Archer City 	2005023	0.015	Archer 	4005005	0.005	n/a	n/a	0	n/a	n/a	0
Arcola 	2079131	0.02	Fort Bend 	n/a	0	n/a	n/a	0	n/a	n/a	0
Argenta 	n/a	0	Live Oak 	4149002	0.005	n/a	n/a	0	n/a	n/a	0
Argyle 	2061104	0.015	Denton 	n/a	0	Argyle Crime Cont Dist 	5061550	0.0025	n/a	n/a	0
Arlie 	n/a	0	Childress 	4038006	0.005	n/a	n/a	0	n/a	n/a	0
Arlington 	2220095	0.02	Tarrant 	n/a	0	n/a	n/a	0	n/a	n/a	0
Arnett 	n/a	0	Coryell 	4050009	0.005	n/a	n/a	0	n/a	n/a	0
Arney 	n/a	0	Castro 	4035009	0.005	n/a	n/a	0	n/a	n/a	0
Arp 	2212068	0.015	Smith 	4212004	0.005	n/a	n/a	0	n/a	n/a	0
Art 	n/a	0	Mason 	n/a	0	Mason Co Health Services	5157500	0.01	n/a	n/a	0
Arthur City 	n/a	0	Lamar 	4139004	0.005	n/a	n/a	0	n/a	n/a	0
Arvana 	n/a	0	Dawson 	4058001	0.005	n/a	n/a	0	n/a	n/a	0
Asa 	n/a	0	McLennan 	4161005	0.005	n/a	n/a	0	n/a	n/a	0
Ash 	n/a	0	Houston 	4113004	0.005	n/a	n/a	0	n/a	n/a	0
Asherton 	2064030	0.01	Dimmit 	4064003	0.005	n/a	n/a	0	n/a	n/a	0
Ashland 	n/a	0	Upshur 	4230002	0.005	n/a	n/a	0	n/a	n/a	0
Asia 	n/a	0	Polk 	4187005	0.005	n/a	n/a	0	n/a	n/a	0
Aspermont 	2217018	0.02	Stonewall 	n/a	0	n/a	n/a	0	n/a	n/a	0
Atascocita 	n/a	0	Harris 	n/a	0	n/a	n/a	0	Houston MTA 	3101990	0.01
Atascosa 	n/a	0	Bexar 	n/a	0	n/a	n/a	0	San Antonio MTA 	3015995	0.005
Ater 	n/a	0	Coryell 	4050009	0.005	n/a	n/a	0	n/a	n/a	0
Athens 	2107011	0.02	Henderson 	n/a	0	n/a	n/a	0	n/a	n/a	0
Atlanta 	2034028	0.02	Cass 	n/a	0	n/a	n/a	0	n/a	n/a	0
Atlas 	n/a	0	Lamar 	4139004	0.005	n/a	n/a	0	n/a	n/a	0
Atoy 	n/a	0	Cherokee 	4037007	0.005	n/a	n/a	0	n/a	n/a	0
Atreco 	n/a	0	Jefferson 	4123002	0.005	n/a	n/a	0	n/a	n/a	0
Attoyac 	n/a	0	Nacogdoches 	n/a	0	Nacogdoches Co Hosp Dist	5174509	0.01	n/a	n/a	0
Aubrey 	2061051	0.015	Denton 	n/a	0	Aubrey Mun Dev Dist	5061676	0.005	n/a	n/a	0
Augusta 	n/a	0	Houston 	4113004	0.005	n/a	n/a	0	n/a	n/a	0
Aurora 	2249136	0.01	Wise 	4249001	0.005	n/a	n/a	0	n/a	n/a	0
Austin 	2227016	0.01	Travis 	n/a	0	n/a	n/a	0	Austin MTA 	3227999	0.01
Austin 	2227016	0.01	Williamson 	n/a	0	n/a	n/a	0	Austin MTA 	3227999	0.01
Austin/E Travis GW Lib Dis	6227668	0.01	Travis 	n/a	0	n/a	n/a	0	Austin MTA 	3227999	0.01
Austin/Hays	6105638	0.01	Hays 	n/a	0	n/a	n/a	0	Austin MTA 	3227999	0.01
Austin/Westbank Lib Dist 	6227604	0.01	Travis 	n/a	0	n/a	n/a	0	Austin MTA 	3227999	0.01
Austonio 	n/a	0	Houston 	4113004	0.005	n/a	n/a	0	n/a	n/a	0
Austwell 	2196040	0.01	Refugio 	n/a	0	n/a	n/a	0	n/a	n/a	0
Authon 	n/a	0	Parker 	4184008	0.005	n/a	n/a	0	n/a	n/a	0
Avery 	2194024	0.01	Red River 	4194006	0.005	n/a	n/a	0	n/a	n/a	0
Avinger 	2034046	0.02	Cass 	n/a	0	n/a	n/a	0	n/a	n/a	0
Avon Park 	n/a	0	McLennan 	4161005	0.005	n/a	n/a	0	n/a	n/a	0
Axtell 	n/a	0	McLennan 	4161005	0.005	n/a	n/a	0	n/a	n/a	0
Azle 	2184035	0.0125	Parker 	4184008	0.005	Azle Crm Control Dist 	5184516	0.0025	n/a	n/a	0
Azle 	2184035	0.0125	Tarrant 	n/a	0	Azle Crm Control Dist 	5184516	0.0025	n/a	n/a	0
Bagby 	n/a	0	Fannin 	4074001	0.005	n/a	n/a	0	n/a	n/a	0
Bagwell 	n/a	0	Red River 	4194006	0.005	n/a	n/a	0	n/a	n/a	0
Bailey 	2074109	0.01	Fannin 	4074001	0.005	n/a	n/a	0	n/a	n/a	0
Baileyboro 	n/a	0	Bailey 	4009001	0.005	n/a	n/a	0	n/a	n/a	0
